q_Ainv,two_theta_deg,I_norm
5.000000000000000000e-01,7.028700128038227746e+00,1.000000000000000000e+00
5.050000000000000044e-01,7.099076738982640578e+00,9.671703495330593592e-01
5.100000000000000089e-01,7.169456031107380056e+00,9.348107434264043558e-01
5.150000000000000133e-01,7.239838031269815843e+00,9.029308762824855839e-01
5.200000000000000178e-01,7.310222766336568867e+00,8.715400499094179132e-01
5.250000000000000222e-01,7.380610263183611686e+00,8.406471701932504148e-01
5.300000000000000266e-01,7.451000548696358194e+00,8.102607442976408336e-01
5.350000000000000311e-01,7.521393649769757772e+00,7.803888781911142436e-01
5.400000000000000355e-01,7.591789593308383211e+00,7.510392745018079630e-01
5.450000000000000400e-01,7.662188406226541737e+00,7.222192306993026056e-01
5.500000000000000444e-01,7.732590115448353174e+00,6.939356376028570361e-01
5.550000000000000488e-01,7.802994747907842310e+00,6.661949782150748955e-01
5.600000000000000533e-01,7.873402330549052586e+00,6.390033268797475907e-01
5.649999999999999467e-01,7.943812890326117149e+00,6.123663487623370871e-01
5.700000000000000622e-01,8.014226454203379646e+00,5.862892996512772958e-01
5.749999999999999556e-01,8.084643049155454619e+00,5.607770260780199356e-01
5.799999999999999600e-01,8.155062702167354516e+00,5.358339657534361145e-01
5.849999999999999645e-01,8.225485440234571399e+00,5.114641483179771519e-01
5.899999999999999689e-01,8.295911290363166657e+00,4.876711964026759771e-01
5.949999999999999734e-01,8.366340279569874028e+00,4.644583269978526663e-01
5.999999999999999778e-01,8.436772434882191973e+00,4.418283531261146813e-01
6.049999999999999822e-01,8.507207783338479601e+00,4.197836858159992302e-01
6.099999999999999867e-01,8.577646351988050810e+00,3.983263363723554273e-01
6.149999999999999911e-01,8.648088167891273770e+00,3.774579189393330036e-01
6.199999999999999956e-01,8.718533258119657958e+00,3.571796533516025662e-01
6.250000000000000000e-01,8.788981649755958969e+00,3.374923682692089755e-01
6.300000000000000044e-01,8.859433369894269106e+00,3.183965045912375835e-01
6.350000000000000089e-01,8.929888445640118633e+00,2.998921191432534217e-01
6.400000000000000133e-01,9.000346904110561042e+00,2.819788886332676436e-01
6.450000000000000178e-01,9.070808772434283185e+00,2.646561138707785310e-01
6.500000000000000222e-01,9.141274077751686988e+00,2.479227242432411882e-01
