q_Ainv,two_theta_deg,I_norm
5.000000000000000000e-01,7.028700128038226858e+00,1.000000000000000000e+00
5.050000000000000044e-01,7.099076738982640578e+00,9.676776475894249829e-01
5.100000000000000089e-01,7.169456031107378280e+00,9.358062023586152245e-01
5.150000000000000133e-01,7.239838031269815843e+00,9.043952584071357492e-01
5.200000000000000178e-01,7.310222766336568867e+00,8.734540351141611980e-01
5.250000000000000222e-01,7.380610263183611686e+00,8.429913739603557277e-01
5.300000000000000266e-01,7.451000548696358194e+00,8.130157356595499873e-01
5.350000000000000311e-01,7.521393649769755996e+00,7.835351976005509034e-01
5.400000000000000355e-01,7.591789593308383211e+00,7.545574515991636533e-01
5.450000000000000400e-01,7.662188406226541737e+00,7.260898019602152198e-01
5.500000000000000444e-01,7.732590115448353174e+00,6.981391638491102336e-01
5.550000000000000488e-01,7.802994747907842310e+00,6.707120619721731458e-01
5.600000000000000533e-01,7.873402330549052586e+00,6.438146295647648731e-01
5.649999999999999467e-01,7.943812890326117149e+00,6.174526076859002677e-01
5.700000000000000622e-01,8.014226454203379646e+00,5.916313448178208700e-01
5.749999999999999556e-01,8.084643049155454619e+00,5.663557967687399275e-01
5.799999999999999600e-01,8.155062702167354516e+00,5.416305268766827830e-01
5.849999999999999645e-01,8.225485440234571399e+00,5.174597065121460115e-01
5.899999999999999689e-01,8.295911290363166657e+00,4.938471158769937031e-01
5.949999999999999734e-01,8.366340279569874028e+00,4.707961450968103367e-01
5.999999999999999778e-01,8.436772434882191973e+00,4.483097956036611875e-01
6.049999999999999822e-01,8.507207783338479601e+00,4.263906818059878812e-01
6.099999999999999867e-01,8.577646351988050810e+00,4.050410330421300165e-01
6.149999999999999911e-01,8.648088167891273770e+00,3.842626958137376203e-01
6.199999999999999956e-01,8.718533258119657958e+00,3.640571362951213752e-01
6.250000000000000000e-01,8.788981649755957193e+00,3.444254431143615736e-01
6.300000000000000044e-01,8.859433369894269106e+00,3.253683304017959688e-01
6.350000000000000089e-01,8.929888445640118633e+00,3.068861411012932527e-01
6.400000000000000133e-01,9.000346904110561042e+00,2.889788505395203821e-01
6.450000000000000178e-01,9.070808772434283185e+00,2.716460702482200174e-01
6.500000000000000222e-01,9.141274077751686988e+00,2.548870520343221591e-01
6.550000000000000266e-01,9.211742847215003138e+00,2.387006922925336005e-01
6.600000000000000311e-01,9.282215107988367464e+00,2.230855365548731484e-01
6.650000000000000355e-01,9.352690887247932849e+00,2.080397842714490908e-01
6.700000000000000400e-01,9.423170212181961602e+00,1.935612938166136332e-01
6.750000000000000444e-01,9.493653109990921379e+00,1.796475877144728950e-01
6.799999999999999378e-01,9.564139607887574002e+00,1.662958580775777406e-01
6.850000000000000533e-01,9.634629733097098025e+00,1.535029722524824669e-01
6.899999999999999467e-01,9.705123512857150914e+00,1.412654786657229489e-01
6.950000000000000622e-01,9.775620974417996933e+00,1.295796128636237110e-01
6.999999999999999556e-01,9.846122145042579987e+00,1.184413037392482576e-01
7.050000000000000711e-01,9.916627052006647958e+00,1.078461799396574633e-01
7.099999999999999645e-01,9.987135722598816656e+00,9.778957644657026993e-02
7.149999999999999689e-01,1.005764818412070127e+01,8.826654132338440650e-02
7.199999999999999734e-01,1.012816446388699632e+01,7.927184262145611782e-02
7.249999999999999778e-01,1.019868458922557330e+01,7.079997543842457552e-02
7.299999999999999822e-01,1.026920858747757848e+01,6.284516912130611033e-02
7.349999999999999867e-01,1.033973648599754469e+01,5.540139460700607699e-02
7.399999999999999911e-01,1.041026831215347315e+01,4.846237189283210400e-02
7.449999999999999956e-01,1.048080409332694352e+01,4.202157762954201320e-02
7.500000000000000000e-01,1.055134385691320098e+01,3.607225282940467598e-02
7.550000000000000044e-01,1.062188763032126815e+01,3.060741068171691365e-02
7.600000000000000089e-01,1.069243544097403564e+01,2.561984446818417471e-02
