q_Ainv,two_theta_deg,I_norm
5.000000000000000000e-01,7.028700128038226858e+00,9.131706401790687933e-01
5.050000000000000044e-01,7.099076738982640578e+00,8.594297607502574543e-01
5.100000000000000089e-01,7.169456031107378280e+00,8.073663501332301040e-01
5.150000000000000133e-01,7.239838031269815843e+00,7.569876359771918750e-01
5.200000000000000178e-01,7.310222766336568867e+00,7.082992422191866089e-01
5.250000000000000222e-01,7.380610263183611686e+00,6.613052015811472506e-01
5.300000000000000266e-01,7.451000548696358194e+00,6.160079696804855454e-01
5.350000000000000311e-01,7.521393649769755996e+00,5.724084407242702177e-01
5.400000000000000355e-01,7.591789593308383211e+00,5.305059647552931024e-01
5.450000000000000400e-01,7.662188406226541737e+00,4.902983664166439826e-01
5.500000000000000444e-01,7.732590115448353174e+00,4.517819651997884156e-01
5.550000000000000488e-01,7.802994747907842310e+00,4.149515971395563163e-01
5.600000000000000533e-01,7.873402330549052586e+00,3.798006379179549863e-01
5.649999999999999467e-01,7.943812890326117149e+00,3.463210273372506753e-01
5.700000000000000622e-01,8.014226454203379646e+00,3.145032951213778127e-01
5.749999999999999556e-01,8.084643049155454619e+00,2.843365880034195436e-01
5.799999999999999600e-01,8.155062702167354516e+00,2.558086980556049106e-01
5.849999999999999645e-01,8.225485440234571399e+00,2.289060922171282930e-01
5.899999999999999689e-01,8.295911290363166657e+00,2.036139429739110551e-01
5.949999999999999734e-01,8.366340279569874028e+00,1.799161601434030311e-01
5.999999999999999778e-01,8.436772434882191973e+00,1.577954237165175022e-01
6.049999999999999822e-01,8.507207783338479601e+00,1.372332177078719462e-01
6.099999999999999867e-01,8.577646351988050810e+00,1.182098649646644711e-01
6.149999999999999911e-01,8.648088167891273770e+00,1.007045628837302531e-01
6.199999999999999956e-01,8.718533258119657958e+00,8.469541998562758744e-02
6.250000000000000000e-01,8.788981649755957193e+00,7.015949329396027612e-02
6.300000000000000044e-01,8.859433369894269106e+00,5.707282646759144484e-02
6.350000000000000089e-01,8.929888445640118633e+00,4.541048863291969467e-02
6.400000000000000133e-01,9.000346904110561042e+00,3.514661386296369372e-02
6.450000000000000178e-01,9.070808772434283185e+00,2.625444124968173351e-02
6.500000000000000222e-01,9.141274077751686988e+00,1.870635551567013943e-02
6.550000000000000266e-01,9.211742847215003138e+00,1.247392811120076259e-02
6.600000000000000311e-01,9.282215107988367464e+00,7.527958742438796598e-03
6.650000000000000355e-01,9.352690887247932849e+00,3.838517276628384319e-03
6.700000000000000400e-01,9.423170212181961602e+00,1.374985970068169248e-03
6.750000000000000444e-01,9.493653109990921379e+00,1.061019647873024231e-04
6.799999999999999378e-01,9.564139607887574002e+00,0.000000000000000000e+00
6.850000000000000533e-01,9.634629733097098025e+00,1.024255284662359614e-03
6.899999999999999467e-01,9.705123512857150914e+00,3.145926477747388803e-03
6.950000000000000622e-01,9.775620974417996933e+00,6.331598723239729304e-03
6.999999999999999556e-01,9.846122145042579987e+00,1.054742668728406683e-02
7.050000000000000711e-01,9.916627052006647958e+00,1.575917754543742014e-02
7.099999999999999645e-01,9.987135722598816656e+00,2.193227386853030189e-02
7.149999999999999689e-01,1.005764818412070127e+01,2.903183635629764600e-02
7.199999999999999734e-01,1.012816446388699632e+01,3.702272636861741323e-02
7.249999999999999778e-01,1.019868458922557330e+01,4.586958820496088440e-02
7.299999999999999822e-01,1.026920858747757848e+01,5.553689108347480141e-02
7.349999999999999867e-01,1.033973648599754469e+01,6.598897077197869721e-02
7.399999999999999911e-01,1.041026831215347315e+01,7.719007082410402065e-02
7.449999999999999956e-01,1.048080409332694352e+01,8.910438337476467296e-02
7.500000000000000000e-01,1.055134385691320098e+01,1.016960894501978546e-01
7.550000000000000044e-01,1.062188763032126815e+01,1.149293987488901464e-01
7.600000000000000089e-01,1.069243544097403564e+01,1.287685888508353360e-01
7.650000000000000133e-01,1.076298731630836336e+01,1.431780438137474631e-01
7.700000000000000178e-01,1.083354328377518172e+01,1.581222921160810591e-01
7.750000000000000222e-01,1.090410337083958758e+01,1.735660439079642625e-01
7.800000000000000266e-01,1.097466760498094196e+01,1.894742275324579062e-01
7.850000000000000311e-01,1.104523601369297836e+01,2.058120252809024775e-01
7.900000000000000355e-01,1.111580862448389340e+01,2.225449083474740908e-01
7.949999999999999289e-01,1.118638546487645158e+01,2.396386709494980893e-01
8.000000000000000444e-01,1.125696656240808835e+01,2.570594635815020013e-01
8.049999999999999378e-01,1.132755194463099535e+01,2.747738253724478774e-01
8.100000000000000533e-01,1.139814163911224654e+01,2.927487155171124011e-01
8.149999999999999467e-01,1.146873567343386746e+01,3.109515437540530947e-01
8.200000000000000622e-01,1.153933407519297027e+01,3.293501998641977235e-01
8.249999999999999556e-01,1.160993687200181590e+01,3.479130821655990191e-01
8.300000000000000711e-01,1.168054409148795436e+01,3.666091249815240927e-01
8.349999999999999645e-01,1.175115576129429051e+01,3.854078250605961764e-01
8.400000000000000799e-01,1.182177190907922437e+01,4.042792669293543972e-01
8.449999999999999734e-01,1.189239256251669907e+01,4.231941471591645354e-01
8.500000000000000888e-01,1.196301774929636252e+01,4.421237975310884916e-01
8.549999999999999822e-01,1.203364749712361892e+01,4.610402070838913180e-01
8.599999999999999867e-01,1.210428183371976374e+01,4.799160430320512649e-01
8.649999999999999911e-01,1.217492078682207080e+01,4.987246705422165860e-01
8.699999999999999956e-01,1.224556438418389170e+01,5.174401713582253981e-01
8.750000000000000000e-01,1.231621265357477135e+01,5.360373612664011134e-01
8.800000000000000044e-01,1.238686562278053849e+01,5.544918063944680453e-01
8.850000000000000089e-01,1.245752331960340875e+01,5.727798383390400039e-01
