LAMMPS (29 Aug 2024)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (14.3 14.3 14.3)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  192 atoms
  reading velocities ...
  192 velocities
  read_data CPU = 0.003 seconds
WARNING: Changed valency_val to valency_boc for X (src/REAXFF/reaxff_ffield.cpp:294)

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- Type Label Framework: https://doi.org/10.1021/acs.jpcb.3c08419
- pair reaxff command: doi:10.1016/j.parco.2011.08.005
- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 10 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 3 3 3
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 46.19 | 46.22 | 46.24 Mbytes
   Step          Time           Temp          PotEng         KinEng         TotEng         Press          Volume        Density    
         0   0              4000          -28623.083      2277.3389     -26345.744     -95357.687      2924.207       2.1836445    
       100   25             1736.2501     -27293.423      988.50749     -26304.916     -18117.75       2924.2016      2.1836485    
       200   50             2401.0666     -27592.197      1367.0106     -26225.186     -46511.251      2924.1774      2.1836666    
       300   75             2314.8861     -27444.079      1317.945      -26126.134     -38301.68       2924.1177      2.1837112    
       400   100            2394.3068     -27405.055      1363.162      -26041.893     -21616.824      2924.0191      2.1837848    
       500   125            2506.5675     -27368.088      1427.0759     -25941.012     -20666.228      2923.8886      2.1838823    
       600   150            2272.7669     -27117.63       1293.9651     -25823.664     -6884.3073      2923.7251      2.1840043    
       700   175            2898.716      -27353.254      1650.3397     -25702.914     -6222.6414      2923.5439      2.1841397    
       800   200            2758.379      -27140.733      1570.4409     -25570.292      6544.3183      2923.3814      2.1842611    
       900   225            3254.2819     -27285.383      1852.7757     -25432.608      37342.987      2923.2403      2.1843666    
      1000   250            3044.1283     -27018.437      1733.1279     -25285.309      27503.744      2923.1254      2.1844524    
      1100   275            3329.1787     -27045.35       1895.417      -25149.933      36015.946      2923.0511      2.184508     
      1200   300            3114.602      -26780.718      1773.2511     -25007.467     -10853.164      2923.0095      2.1845391    
      1300   325            3251.5847     -26716.989      1851.2401     -24865.749      1695.6554      2922.9757      2.1845643    
      1400   350            3775.4526     -26870.788      2149.4962     -24721.292      6971.675       2922.9405      2.1845906    
      1500   375            3730.1274     -26700.89       2123.6911     -24577.199      63530.7        2922.9467      2.184586     
      1600   400            3565.7699     -26481.565      2030.1166     -24451.449      45616.933      2923.0321      2.1845221    
      1700   425            3961.5076     -26581.548      2255.4238     -24326.124      21804.053      2923.1676      2.1844209    
      1800   450            3925.0605     -26445.152      2234.6732     -24210.478      34415.777      2923.354       2.1842816    
      1900   475            3974.5491     -26365.164      2262.8488     -24102.315     -6171.0342      2923.5946      2.1841019    
      2000   500            4023.0448     -26293.338      2290.4591     -24002.879      65399.521      2923.843       2.1839163    
      2100   525            4109.5458     -26251.758      2339.7071     -23912.051      16792.716      2924.1139      2.183714     
      2200   550            4163.3077     -26213.575      2370.3156     -23843.26      -11313.099      2924.4144      2.1834896    
      2300   575            4401.9047     -26294.075      2506.1572     -23787.918      14951.623      2924.7365      2.1832491    
      2400   600            3869.2335     -25954.164      2202.889      -23751.275      35829.006      2925.1116      2.1829691    
      2500   625            4448.9345     -26253.15       2532.9329     -23720.217      105119.93      2925.5421      2.1826479    
      2600   650            4172.5055     -26090.707      2375.5523     -23715.155     -21148.848      2926.0506      2.1822686    
      2700   675            4049.4055     -26034.187      2305.4671     -23728.72       2109.4666      2926.6013      2.181858     
      2800   700            4504.3798     -26316.571      2564.4998     -23752.071      52037.105      2927.1837      2.1814239    
      2900   725            4150.951      -26159.694      2363.2805     -23796.414      71595.127      2927.8162      2.1809526    
      3000   750            4062.0086     -26172.4        2312.6425     -23859.757      24333.615      2928.4922      2.1804492    
      3100   775            4338.8205     -26399.329      2470.2412     -23929.088      8285.8496      2929.2212      2.1799065    
      3200   800            4103.7596     -26344.248      2336.4128     -24007.835      4142.6763      2930.0029      2.1793249    
      3300   825            3691.1055     -26183.263      2101.4745     -24081.788      40953.035      2930.8202      2.1787172    
      3400   850            4036.4769     -26436.646      2298.1065     -24138.54       36729.355      2931.6534      2.178098     
      3500   875            3981.9322     -26467.256      2267.0523     -24200.204      42743.562      2932.5225      2.1774525    
      3600   900            3845.951      -26444.743      2189.6334     -24255.11       28356.161      2933.4399      2.1767715    
      3700   925            4022.6883     -26596.03       2290.2561     -24305.774      38952.183      2934.4107      2.1760513    
      3800   950            3783.8679     -26500.537      2154.2873     -24346.25       53738.587      2935.4337      2.175293     
      3900   975            3856.1771     -26574.148      2195.4555     -24378.692      28699.512      2936.5123      2.174494     
      4000   1000           3634.6421     -26461.299      2069.328      -24391.971      15283.319      2937.6286      2.1736677    
      4100   1025           3795.8935     -26549.087      2161.134      -24387.953      14506.332      2938.7732      2.1728211    
      4200   1050           3736.2947     -26494.005      2127.2023     -24366.802      42102.637      2939.9469      2.1719537    
      4300   1075           4038.8947     -26633.735      2299.483      -24334.252      20686.021      2941.1742      2.1710473    
      4400   1100           3865.8557     -26491.266      2200.9658     -24290.301     -309.03547      2942.4533      2.1701036    
      4500   1125           3979.5968     -26507.676      2265.7226     -24241.953      61124.627      2943.7811      2.1691248    
      4600   1150           3816.0461     -26360.627      2172.6076     -24188.019      15734.797      2945.1727      2.1680998    
      4700   1175           4031.9707     -26431.957      2295.5409     -24136.416     -11960.581      2946.583       2.1670621    
      4800   1200           3822.694      -26248.939      2176.3924     -24072.546     -1130.9888      2947.9907      2.1660273    
      4900   1225           3937.6218     -26259.785      2241.8248     -24017.96       41668.001      2949.3862      2.1650025    
      5000   1250           3912.2826     -26188.931      2227.3983     -23961.532      36086.438      2950.8031      2.1639629    
      5100   1275           3970.6085     -26174.794      2260.6053     -23914.188      76007.939      2952.2466      2.1629048    
      5200   1300           4270.613      -26313.246      2431.4082     -23881.837      37524.528      2953.7305      2.1618182    
      5300   1325           4531.7651     -26438.917      2580.0912     -23858.826      25190.28       2955.2674      2.1606939    
      5400   1350           4187.2923     -26241.194      2383.9709     -23857.223     -8724.2802      2956.8698      2.159523     
      5500   1375           4247.7996     -26290.295      2418.4198     -23871.876     -17585.351      2958.4851      2.1583439    
      5600   1400           4227.4934     -26307.667      2406.8588     -23900.808      36028.198      2960.0957      2.1571695    
      5700   1425           4300.3931     -26398.801      2448.3631     -23950.438      2775.586       2961.7261      2.1559821    
