LAMMPS (29 Aug 2024)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.13298298 -0.13298298 -0.13298298) to (14.432983 14.432983 14.432983)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  192 atoms
  reading velocities ...
  192 velocities
  read_data CPU = 0.004 seconds
WARNING: Changed valency_val to valency_boc for X (src/REAXFF/reaxff_ffield.cpp:294)

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- Type Label Framework: https://doi.org/10.1021/acs.jpcb.3c08419
- pair reaxff command: doi:10.1016/j.parco.2011.08.005
- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 10 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 3 3 3
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 42.6 | 42.86 | 43.16 Mbytes
   Step          Time           Temp          PotEng         KinEng         TotEng         Press          Volume        Density    
         0   0              4516.5605     -26358.594      2571.4347     -23787.159      463.13046      3090.4226      2.0661991    
       100   25             3984.024      -26175.237      2268.2432     -23906.994     -6418.4227      3090.4551      2.0661774    
       200   50             3963.9066     -26358.622      2256.7897     -24101.832     -48821.799      3090.4894      2.0661545    
       300   75             3525.8862     -26274.583      2007.4094     -24267.173     -23875.066      3090.4454      2.0661838    
       400   100            3504.3069     -26432.364      1995.1236     -24437.24      -24224.639      3090.318       2.0662691    
       500   125            3484.0313     -26619.053      1983.58       -24635.474     -32684.802      3090.1069      2.0664102    
       600   150            3212.4635     -26652.513      1828.967      -24823.546     -36145.633      3089.8027      2.0666137    
       700   175            3158.158      -26786.176      1798.049      -24988.127     -22473.526      3089.3969      2.0668851    
       800   200            3195.1623     -26977.167      1819.1168     -25158.051     -39080.817      3088.9026      2.0672158    
       900   225            2993.9766     -27028.367      1704.5748     -25323.793     -45365.521      3088.3144      2.0676095    
      1000   250            2710.1766     -27001.41       1542.9977     -25458.412     -32749.175      3087.6093      2.0680818    
      1100   275            2560.176      -27042.666      1457.5971     -25585.068      842.51737      3086.794       2.068628     
      1200   300            2565.2284     -27162.017      1460.4736     -25701.544     -31802.772      3085.8883      2.0692351    
      1300   325            2525.5124     -27242.44       1437.8619     -25804.578     -40238.243      3084.8964      2.0699004    
      1400   350            2341.6668     -27219.226      1333.1922     -25886.034     -54248.206      3083.7957      2.0706392    
      1500   375            2365.3613     -27304.348      1346.6823     -25957.665     -35358.601      3082.5681      2.0714639    
      1600   400            2457.7964     -27417.859      1399.3088     -26018.55      -42701.409      3081.2459      2.0723527    
      1700   425            2199.9316     -27326.303      1252.4974     -26073.806     -48511.256      3079.8189      2.0733129    
      1800   450            2232.2919     -27383.894      1270.9213     -26112.972     -50102.94       3078.2617      2.0743617    
      1900   475            2264.6517     -27427.217      1289.3448     -26137.872     -45410.704      3076.5887      2.0754898    
      2000   500            2104.4255     -27344.769      1198.1225     -26146.646     -32387.092      3074.8014      2.0766962    
      2100   525            2390.99       -27507.412      1361.2736     -26146.139     -52169.701      3072.9012      2.0779804    
      2200   550            2223.3759     -27401.652      1265.8451     -26135.807     -50028.121      3070.8694      2.0793552    
      2300   575            2259.1421     -27400.769      1286.208      -26114.561     -32834.828      3068.7205      2.0808113    
      2400   600            2083.323      -27266.001      1186.1081     -26079.893     -32263.868      3066.4729      2.0823365    
      2500   625            2437.6844     -27425.672      1387.8584     -26037.814     -44552.816      3064.1198      2.0839356    
      2600   650            2393.8414     -27353.999      1362.897      -25991.102     -49539.942      3061.6623      2.0856083    
      2700   675            2494.4019     -27365.499      1420.1496     -25945.35      -52167.541      3059.0919      2.0873607    
      2800   700            2573.295      -27366.121      1465.0662     -25901.055     -37949.235      3056.4225      2.0891838    
      2900   725            2463.2226     -27267.915      1402.3981     -25865.516     -25576.865      3053.6637      2.0910712    
      3000   750            2526.6098     -27269.84       1438.4867     -25831.353     -24467.046      3050.8464      2.0930023    
      3100   775            2522.7686     -27243.509      1436.2997     -25807.209     -37548.369      3047.9785      2.0949716    
      3200   800            2526.8125     -27236.349      1438.6021     -25797.747     -27557.26       3045.0422      2.0969918    
      3300   825            2342.6641     -27131.162      1333.76       -25797.402     -40244.824      3042.034       2.0990654    
      3400   850            2448.7224     -27198.671      1394.1427     -25804.528     -15919.052      3038.9402      2.1012024    
      3500   875            2570.611      -27275.082      1463.5381     -25811.544     -34939.035      3035.7768      2.1033919    
